GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetSignOutRoute,11,38,0,0,2,11,0,2,0,2
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostValidateMoveRoute,63,0,2,0,14,0,3,0,2,0
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetGameRoute,8,93,1,7,4,23,1,6,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetHomeRoute,13,93,2,2,4,20,2,3,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,WebServer,154,0,0,0,25,0,3,0,3,0
Web Checkers a'la Spark/Java8,com.webcheckers.ui,BoardView,12,91,3,11,2,21,3,11,1,6
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostBackUpMoveRoute,49,0,2,0,11,0,3,0,2,0
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostCheckTurnRoute,126,0,12,0,26,0,9,0,3,0
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetErrorMessageRoute,35,0,0,0,9,0,2,0,2,0
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetBoardRoute.Modes,0,34,0,0,0,1,0,1,0,1
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostSubmitTurnRoute,131,0,14,0,23,0,9,0,2,0
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostSignInRoute,4,80,0,2,2,20,0,3,0,2
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostResignGameRoute,68,0,4,0,15,0,4,0,2,0
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetSignInRoute,0,39,0,0,0,10,0,3,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetBoardRoute,22,204,4,10,4,43,4,6,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.Model,Row,3,21,0,0,1,6,1,2,1,2
Web Checkers a'la Spark/Java8,com.webcheckers.Model,Piece.pieceType,0,24,0,0,0,3,0,1,0,1
Web Checkers a'la Spark/Java8,com.webcheckers.Model,Message,39,28,5,3,10,6,8,2,4,2
Web Checkers a'la Spark/Java8,com.webcheckers.Model,Player,0,50,0,4,0,15,0,8,0,6
Web Checkers a'la Spark/Java8,com.webcheckers.Model,Position,2,65,1,13,1,11,1,11,0,5
Web Checkers a'la Spark/Java8,com.webcheckers.Model,MoveValidator,42,603,31,113,12,115,29,54,1,10
Web Checkers a'la Spark/Java8,com.webcheckers.Model,Space,1,201,5,27,0,39,5,23,0,12
Web Checkers a'la Spark/Java8,com.webcheckers.Model,Piece,1,98,4,9,0,28,4,12,0,9
Web Checkers a'la Spark/Java8,com.webcheckers.Model,Piece.color,0,24,0,0,0,3,0,1,0,1
Web Checkers a'la Spark/Java8,com.webcheckers.Model,BoardModel,10,564,8,66,2,118,9,51,1,22
Web Checkers a'la Spark/Java8,com.webcheckers.Model,Move,0,15,0,0,0,6,0,3,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.Model,Message.TYPE,0,24,0,0,0,3,0,1,0,1
Web Checkers a'la Spark/Java8,com.webcheckers,Application,82,0,0,0,24,0,4,0,4,0
Web Checkers a'la Spark/Java8,com.webcheckers.Appl,PlayerLobby,0,103,0,12,0,21,0,13,0,7
Web Checkers a'la Spark/Java8,com.webcheckers.Appl,GameList,0,89,1,7,0,19,1,10,0,7
